Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_gpio_adapter_0_probe_test_o[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
891,891,0,a5
892,892,0,a5
893,893,0,a5
894,894,0,a5
895,895,0,a5
896,896,0,a5
897,897,0,a5
898,898,0,a5
899,899,0,a5
900,900,0,a5
901,901,0,a5
902,902,0,a5
903,903,0,a5
904,904,0,a5
905,905,0,a5
906,906,0,a5
907,907,0,a5
908,908,0,a5
909,909,0,a5
910,910,0,a5
911,911,0,a5
912,912,0,a5
913,913,0,a5
914,914,0,a5
915,915,0,a5
916,916,0,a5
917,917,0,a5
918,918,0,a5
919,919,0,a5
920,920,0,a5
921,921,0,a5
922,922,0,a5
923,923,0,a5
924,924,0,a5
925,925,0,a5
926,926,0,a5
927,927,0,a5
928,928,0,a5
929,929,0,a5
930,930,0,a5
931,931,0,a5
932,932,0,a5
933,933,0,a5
934,934,0,a5
935,935,0,a5
936,936,0,a5
937,937,0,a5
938,938,0,a5
939,939,0,a5
940,940,0,a5
941,941,0,a5
942,942,0,a5
943,943,0,a5
944,944,0,a5
945,945,0,a5
946,946,0,a5
947,947,0,a5
948,948,0,a5
949,949,0,a5
950,950,0,a5
951,951,0,a5
952,952,0,a5
953,953,0,a5
954,954,0,a5
955,955,0,a5
956,956,0,a5
957,957,0,a5
958,958,0,a5
959,959,0,a5
960,960,0,a5
961,961,0,a5
962,962,0,a5
963,963,0,a5
964,964,0,a5
965,965,0,a5
966,966,0,a5
967,967,0,a5
968,968,0,a5
969,969,0,a5
970,970,0,a5
971,971,0,a5
972,972,0,a5
973,973,0,a5
974,974,0,a5
975,975,0,a5
976,976,0,a5
977,977,0,a5
978,978,0,a5
979,979,0,a5
980,980,0,a5
981,981,0,a5
982,982,0,a5
983,983,0,a5
984,984,0,a5
985,985,0,a5
986,986,0,a5
987,987,0,a5
988,988,0,a5
989,989,0,a5
990,990,0,a5
991,991,0,a5
992,992,0,a5
993,993,0,a5
994,994,0,a5
995,995,0,a5
996,996,0,a5
997,997,0,a5
998,998,0,a5
999,999,0,a5
1000,1000,0,a5
1001,1001,0,a5
1002,1002,0,a5
1003,1003,0,a5
1004,1004,0,a5
1005,1005,0,a5
1006,1006,0,a5
1007,1007,0,a5
1008,1008,0,a5
1009,1009,0,a5
1010,1010,0,a5
1011,1011,0,a5
1012,1012,0,a5
1013,1013,0,a5
1014,1014,0,a5
1015,1015,0,a5
1016,1016,0,a5
1017,1017,0,a5
1018,1018,0,a5
1019,1019,0,a5
1020,1020,0,a5
1021,1021,0,a5
1022,1022,0,a5
1023,1023,0,a5
